month,name,age,description,image,link,status
1,Gianluca Vialli,58,O avançado que aprendeu a chorar,https://imagens.publico.pt/imagens.aspx/1767475?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2023/01/06/desporto/noticia/gianluca-vialli-19642023-avancado-aprendeu-chorar-2034072,Publicado
1,Christine Laurent,78,Realizadora e encenadora francesa,https://imagens.publico.pt/imagens.aspx/1767757?tp=UH&db=IMAGENS&type=PNG&w=500&act=resize,https://www.publico.pt/2023/01/07/culturaipsilon/noticia/morreu-encenadora-realizadora-christine-laurent-2034155,Publicado
1,Michael Snow,94,Autor do filme <em>Wavelenght</em> ou da silhueta <em>Walking Woman</em>,https://imagens.publico.pt/imagens.aspx/1767791?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2023/01/07/culturaipsilon/noticia/morreu-artista-michael-snow-2034172,Publicado
1,Fabián O’Neill,49,Antigo internacional uruguaio,https://imagens.publico.pt/imagens.aspx/1767602?tp=UH&db=IMAGENS&type=PNG&w=500&act=resize,https://www.publico.pt/2023/01/08/desporto/noticia/fabian-oneill-19732022-el-mago-despediuse-sobrio-2034057,Publicado
1,Jeff Beck,78,O irrequieto e volátil Deus da guitarra,https://imagens.publico.pt/imagens.aspx/1769395?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2023/01/11/culturaipsilon/noticia/morreu-guitarrista-jeff-beck-2034709,Publicado
1,Lisa Marie Presley,54,A princesa que tentou fugir à sombra de um rei,https://imagens.publico.pt/imagens.aspx/1769657?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2023/01/13/impar/noticia/lisa-marie-presley-19682023-princesa-tentou-fugir-sombra-rei-2034929,Publicado
1,Hans Belting,88,O historiador do fim da história da arte,https://imagens.publico.pt/imagens.aspx/1769897?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2023/01/13/culturaipsilon/noticia/hans-belting-19352022-historiador-fim-historia-arte-2035033,Publicado
1,Renée Gailhoustet,93,"Arquitecta, mulher, pioneira",https://imagens.publico.pt/imagens.aspx/1769653?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2023/01/15/culturaipsilon/noticia/renee-gailhoustet-19292023-arquitecta-mulher-pioneira-2034846,Publicado
1,Gina Lollobrigida,95,"Actriz italiana, “a mulher mais bela do mundo”",https://imagens.publico.pt/imagens.aspx/1770304?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2023/01/16/culturaipsilon/noticia/actriz-italiana-gina-lollobrigida-morre-95-anos-2035187,Publicado
1,Paul Vecchiali,92,O último grande cineasta dos corpos e dos sentimentos,https://imagens.publico.pt/imagens.aspx/1771182?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2023/01/18/culturaipsilon/noticia/paul-vecchiali-19302022-ultimo-cineasta-corpos-sentimentos-2035575,Publicado
