month,name,age,description,image,link,status
8,Mário Martins,90,Produtor que revelou vários nomes da música portuguesa,https://imagens.publico.pt/imagens.aspx/2022997?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/14/culturaipsilon/noticia/morreu-mario-martins-produtor-revelou-jose-cid-marco-paulo-carlos-paiao-rui-veloso-2144000,Publicado
8,Teresa Caeiro,56,Uma política no tempo da delicadeza,https://imagens.publico.pt/imagens.aspx/2023270?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/15/politica/noticia/teresa-caeiro-19692025-politica-tempo-delicadeza-2144096,Publicado
8,Augusto Alves da Silva,62,Fotógrafo de imaginação prodigiosa e convicções fortes,https://imagens.publico.pt/imagens.aspx/2023510?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/17/culturaipsilon/noticia/morreu-augusto-alves-silva-fotografo-imaginacao-prodigiosa-conviccoes-fortes-2144165,Publicado
8,Terence Stamp,87,Foi de Fellini e Pasolini ao planeta Krypton,https://imagens.publico.pt/imagens.aspx/2023551?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/17/culturaipsilon/noticia/morreu-terence-stamp-fellini-pasolini-planeta-krypton-2144186,Publicado
8,Eduardo Serra,81,Director de fotografia internacional mas também português,https://imagens.publico.pt/imagens.aspx/2024733?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/22/culturaipsilon/noticia/eduardo-serra-director-fotografia-internacional-tambem-portugues-2144728,Publicado
8,Luís Lucas,73,Um actor incandescente,https://imagens.publico.pt/imagens.aspx/2024938?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/24/culturaipsilon/noticia/luis-lucas-19522025-actor-incandescente-2144843,Publicado
8,Sen Soshitsu XV,102,Uma questão de chá,https://imagens.publico.pt/imagens.aspx/2025594?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/27/mundo/noticia/sen-soshitsu-xv-19232025-questao-cha-2145098,Publicado
8,Rainer Weiss,92,Físico que inventou o detector de ondas gravitacionais,https://imagens.publico.pt/imagens.aspx/2026453?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/01/ciencia/noticia/morreu-rainer-weiss-fisico-inventou-detector-ondas-gravitacionais-2145594,Publicado
8,Luis Fernando Veríssimo,88,"Escritor, cronista, humorista, músico e tradutor",https://imagens.publico.pt/imagens.aspx/2026241?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/08/30/culturaipsilon/noticia/humor-lucido-luis-fernando-verissimo-2145486,Publicado
8,Maurice Tempelsman,95,Um homem consorte,https://imagens.publico.pt/imagens.aspx/2029315?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/14/mundo/noticia/maurice-tempelsman-19292025-homem-consorte-2146824,Publicado
9,Giorgio Armani,91,O mestre da moda italiana que costurou um império,https://imagens.publico.pt/imagens.aspx/2027400?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/04/impar/noticia/giorgio-armani-19342025-mestre-moda-italiana-costurou-imperio-2146051,Publicado
9,Rick Davies,81,"Fundador, vocalista e teclista dos Supertramp",https://imagens.publico.pt/imagens.aspx/2028040?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/08/culturaipsilon/noticia/morreu-rick-davies-fundador-vocalista-teclista-supertramp-2146335,Publicado
9,Angela Ro Ro,75,Voz singular da Música Popular Brasileira,https://imagens.publico.pt/imagens.aspx/2028259?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/08/culturaipsilon/noticia/angela-ro-ro-19422025-voz-singular-mpb-dona-exitos-decada-1980-2146454,Publicado
9,André Bergeron,70,O restaurador de navios naufragados,https://imagens.publico.pt/imagens.aspx/2028554?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/09/culturaipsilon/noticia/andre-bergeron-19452025-restaurador-navios-naufragados-passou-mocambique-morreu-elevador-gloria-2146572,Publicado
9,Hermeto Pascoal,89,O “bruxo dos sons” da música brasileira,https://imagens.publico.pt/imagens.aspx/2029610?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/14/culturaipsilon/noticia/hermeto-pascoal-19362025-bruxo-sons-musica-brasileira-2147122,Publicado
9,Robert Redford,89,A luz mais dourada do cinema americano,https://imagens.publico.pt/imagens.aspx/2030189?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/16/culturaipsilon/noticia/morreu-robert-redford-2147382,Publicado
9,Eduardo Batarda,81,Um artista de todos os tempos,https://imagens.publico.pt/imagens.aspx/2030860?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/19/culturaipsilon/noticia/eduardo-batarda-19432025-artista-tempos-2147874,Publicado
9,A. K. Best,92, “O Senhor das Moscas”,https://imagens.publico.pt/imagens.aspx/2031007?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/21/sociedade/noticia/k-best-19332025-senhor-moscas-2147449,Publicado
9,Claudia Cardinale,87,A rapariga da mala não queria fazer cinema,https://imagens.publico.pt/imagens.aspx/2031849?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/23/culturaipsilon/noticia/morreu-claudia-cardinale-2148300,Publicado
9,Rosa Roisinblit,106,A avó-coragem,https://imagens.publico.pt/imagens.aspx/2032883?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/28/mundo/noticia/rosa-roisinblit-19192025-avocoragem-2148147,Publicado
9,Francisco “Vito” Olazabal,87,Um homem com a mão no Douro contemporâneo,https://imagens.publico.pt/imagens.aspx/2033544?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/09/30/economia/noticia/ferreira-vale-meao-homem-mao-douro-contemporaneo-2149090,Publicado
9,Zubeen Garg,52,O “galã de Assam”,https://imagens.publico.pt/imagens.aspx/2034682?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/05/mundo/noticia/zubeen-garg-19722025-gala-assam-2148942,Publicado
9,Patricia Crowther,97,Cabaré e bruxaria,https://imagens.publico.pt/imagens.aspx/2036597?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/12/mundo/noticia/patricia-crowther-19242025-cabare-bruxaria-2150215,Publicado
9,Soo Catwoman,70,Musa do <em>punk</em>,https://imagens.publico.pt/imagens.aspx/2038725?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/19/culturaipsilon/noticia/soo-catwoman-19542025-musa-punk-2150682,Publicado
10,Jane Goodall,91,Morreu a maior activista do nosso tempo,https://imagens.publico.pt/imagens.aspx/2033960?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/01/azul/noticia/morreu-jane-goodall-historica-primatologa-activista-direitos-animais-2149295,Publicado
10,Ken Jacobs,92,Figura maior do cinema experimental americano,https://imagens.publico.pt/imagens.aspx/2035654?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/07/culturaipsilon/noticia/morreu-ken-jacobs-figura-maior-cinema-experimental-americano-2149943,Publicado
10,John Lodge,82,Baixista e vocalista dos Moody Blues,https://imagens.publico.pt/imagens.aspx/2036675?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/10/culturaipsilon/noticia/morreu-john-lodge-baixista-vocalista-moody-blues-2150383,Publicado
10,D’Angelo,51,Um nome maior da neo-soul,https://imagens.publico.pt/imagens.aspx/2037685?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/14/culturaipsilon/noticia/morreu-dangelo-nome-maior-neosoul-2150836,Publicado
10,José Afonso Furtado,72,Uma mente brilhante,https://imagens.publico.pt/imagens.aspx/2037979?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/15/culturaipsilon/noticia/jose-afonso-furtado-19532025-mente-brilhante-2150983,Publicado
10,Ace Frehley,74,Guitarrista principal dos Kiss,https://imagens.publico.pt/imagens.aspx/2038375?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/17/culturaipsilon/noticia/ace-frehley-guitarrista-principal-kiss-morre-74-anos-2151166,Publicado
10,António Borges Coelho,97,Historiador e antifascista fundamental,https://imagens.publico.pt/imagens.aspx/2038615?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/17/culturaipsilon/noticia/morreu-historiador-antonio-borges-coelho-2151280,Publicado
10,Francisco Pinto Balsemão,88,Moderno e liberal com pose de príncipe,https://imagens.publico.pt/imagens.aspx/2039447?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/21/politica/noticia/balsemao-moderno-liberal-pose-principe-2151695,Publicado
10,João Queiroz,68,O pintor que nos ajudou a redescobrir a paisagem,https://imagens.publico.pt/imagens.aspx/2039733?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/22/culturaipsilon/noticia/joao-queiroz-19572025-pintor-ajudou-redescobrir-paisagem-2151791,Publicado
10,David Ball,66,O cúmplice de Marc Almond nos Soft Cell,https://imagens.publico.pt/imagens.aspx/2040042?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/23/culturaipsilon/noticia/morreu-david-ball-cumplice-marc-almond-soft-cell-2151967,Publicado
10,Oscar S. Wyatt Jr.,101,Do petróleo à prisão,https://imagens.publico.pt/imagens.aspx/2039217?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/26/mundo/noticia/oscar-s-wyatt-jr-19242025-petroleo-prisao-2151598,Publicado
10,Adolfo Gutkin,89,"Actor, encenador e pedagogo argentino e português",https://imagens.publico.pt/imagens.aspx/2040656?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/26/culturaipsilon/noticia/morreu-adolfo-gutkin-encenador-renovou-teatro-portugues-apos-25-abril-2152230,Publicado
10,Jack DeJohnette,83,Um baterista que coloria a música,https://imagens.publico.pt/imagens.aspx/2040893?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/27/culturaipsilon/noticia/jack-dejohnette-19422025-baterista-coloria-musica-2152352,Publicado
10,Manuel Botelho,86,Um arquitecto e professor vindo de Roma,https://imagens.publico.pt/imagens.aspx/2041646?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/30/culturaipsilon/noticia/manuel-botelho-19392025-arquitecto-professor-escola-porto-roma-2152770,Publicado
10,Peter Watkins,90,Um dos grandes cineastas desconhecidos,https://imagens.publico.pt/imagens.aspx/2042077?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/10/31/culturaipsilon/noticia/peter-watkins-19352025-cineastas-desconhecidos-2152966,Publicado
10,Emilio Rodríguez Menéndez,79,Advogado dos diabos,https://imagens.publico.pt/imagens.aspx/2041145?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/02/mundo/noticia/emilio-rodriguez-menendez-19462025-advogado-diabos-2152313,Publicado
10,Wan Runnan,78,Mecenas da liberdade,https://imagens.publico.pt/imagens.aspx/2043704?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/09/mundo/noticia/wan-runnan-19462025-mecenas-liberdade-2153240,Publicado
11,Lô Borges,73,Compositor que inovou na MPB,https://imagens.publico.pt/imagens.aspx/2042437?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/03/culturaipsilon/noticia/morreu-borges-compositor-inovou-mpb-2153182,Publicado
11,Lee Tamahori,75,Empenhado cultor da identidade maori,https://imagens.publico.pt/imagens.aspx/2043767?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/08/culturaipsilon/noticia/morreu-realizador-neozelandes-lee-tamahori-empenhado-cultor-identidade-maori-2153891,Publicado
11,Tatsuya Nakadai,92,O “rei Lear” de Kurosawa,https://imagens.publico.pt/imagens.aspx/2044383?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/11/culturaipsilon/noticia/tatsuya-nakadai-19322025-rei-lear-kurosawa-2154209,Publicado
11,Sei Miguel,64,Vsionário jazz de uma liberdade intransigente,https://imagens.publico.pt/imagens.aspx/2044737?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/12/culturaipsilon/noticia/sei-miguel-19612025-visionario-jazz-liberdade-intransigente-2154380,Publicado
11,Kim Yong-nam,97,O sobrevivente,https://imagens.publico.pt/imagens.aspx/2045501?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/16/mundo/noticia/kim-yongnam-19282025-sobrevivente-2154078,Publicado
11,João Maria Mendes,76,"Escritor, jornalista e professor",https://imagens.publico.pt/imagens.aspx/2045762?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/17/culturaipsilon/noticia/morreu-exjornalista-professor-escritor-joao-maria-mendes-2154935,Publicado
11,Jards Macalé,82,O fantástico criador moderno que só queria ser eterno,https://imagens.publico.pt/imagens.aspx/2045953?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/18/culturaipsilon/noticia/jards-macale-19432025-fantastico-criador-moderno-so-queria-eterno-2155058,Publicado
11,Alda Rosa,89,Artista pioneira do design gráfico e editorial,https://imagens.publico.pt/imagens.aspx/2046876?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/21/culturaipsilon/noticia/morreu-alda-rosa-artista-pioneira-design-grafico-editorial-portugal-2155517,Publicado
11,Ornella Vanoni,91,Grande voz da canção italiana,https://imagens.publico.pt/imagens.aspx/2047149?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/22/culturaipsilon/noticia/ornella-vanoni-voz-cancao-italiana-morre-91-anos-2155631,Publicado
11,Saalumarada Thimmakka,97,A senhora das árvores,https://imagens.publico.pt/imagens.aspx/2046968?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/23/mundo/noticia/saalumarada-thimmakka-19112025-senhora-arvores-2155117,Publicado
11,Udo Kier,81,O eterno pequeno grande vilão,https://imagens.publico.pt/imagens.aspx/2047371?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/24/culturaipsilon/noticia/morreu-actor-alemao-udo-kier-19442025-eterno-vilao-2155744,Publicado
11,Jimmy Cliff,81,Pioneiro da música reggae,https://imagens.publico.pt/imagens.aspx/2047384?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/24/culturaipsilon/noticia/morreu-jimmy-cliff-pioneiro-musica-reggae-2155771,Publicado
11,José Maneiras,90,Um inventor da arquitectura macaense,https://imagens.publico.pt/imagens.aspx/2047900?tp=UH&db=IMAGENS&type=JPG&w=500&act=resize,https://www.publico.pt/2025/11/26/culturaipsilon/noticia/jose-maneiras-19352025-inventor-arquitectura-macaense-2156043,Publicado
