nome,descricao,imagem,artigo_url
Maria José Ribeiro,Lutou por liberdade e pela emancipação das mulheres,https://static.publico.pt/files/site/25abrilmulheres/media/maria-jose.jpg,https://www.publico.pt/multimedia/interactivo/como-as-mulheres-romperam-o-cerco/maria-jose-ribeiro
Aurora Rodrigues,Lutou por liberdade e por justiça,https://static.publico.pt/files/site/25abrilmulheres/media/aurora-rodrigues.jpg,https://www.publico.pt/multimedia/interactivo/como-as-mulheres-romperam-o-cerco/aurora-rodrigues
Ana Campos,Lutou por liberdade e pela despenalização do aborto,https://static.publico.pt/files/site/25abrilmulheres/media/ana-campos.jpg,https://www.publico.pt/multimedia/interactivo/como-as-mulheres-romperam-o-cerco/ana-campos
Manuela Tavares,Lutou pela emancipação das mulheres e pela igualdade,https://static.publico.pt/files/site/25abrilmulheres/media/manuela-tavares.jpg,https://www.publico.pt/multimedia/interactivo/como-as-mulheres-romperam-o-cerco/manuela-tavares
Hermínia Vicente,Lutou pelo uso da terra e por direitos laborais,https://static.publico.pt/files/site/25abrilmulheres/media/herminia-vicente.jpg,https://www.publico.pt/multimedia/interactivo/como-as-mulheres-romperam-o-cerco/herminia-vicente
Conceição Ramos,Lutou pelos direitos das empregadas domésticas,https://static.publico.pt/files/site/25abrilmulheres/media/conceicao-ramos.jpg,https://www.publico.pt/multimedia/interactivo/como-as-mulheres-romperam-o-cerco/conceicao-ramos
Ana Coucello,Lutou pela democracia paritária,https://static.publico.pt/files/site/25abrilmulheres/media/ana_coucello.jpg,https://www.publico.pt/multimedia/interactivo/como-as-mulheres-romperam-o-cerco/ana-coucello
Cronologia,1974-2024: como as mulheres romperam o cerco,https://static.publico.pt/files/site/25abrilmulheres/media/share--cronologia.jpg,https://www.publico.pt/multimedia/interactivo/como-as-mulheres-romperam-o-cerco/cronologia
